Date,Close,ti
04-09-2019,1123.880005,308
05-09-2019,1117.569946,309
06-09-2019,1122.949951,310
09-09-2019,1124.800049,311
11-09-2019,1125.650024,312
12-09-2019,1135.430054,313
13-09-2019,1128.719971,314
16-09-2019,1122.069946,315
17-09-2019,1105.680054,316
18-09-2019,1093.880005,317
19-09-2019,1101.050049,318
20-09-2019,1199.599976,319
23-09-2019,1257.25,320
24-09-2019,1253.800049,321
25-09-2019,1239.699951,322
26-09-2019,1242.5,323
27-09-2019,1244.199951,324
30-09-2019,1227.449951,325
01-10-2019,1248.800049,326
03-10-2019,1223.550049,327
04-10-2019,1189.699951,328
07-10-2019,1186.900024,329
09-10-2019,1228.150024,330
10-10-2019,1200.550049,331
11-10-2019,1198.800049,332
14-10-2019,1204.400024,333
15-10-2019,1223.050049,334
16-10-2019,1221.099976,335
17-10-2019,1220,336
18-10-2019,1229,337
22-10-2019,1239.300049,338
23-10-2019,1241.599976,339
24-10-2019,1236.099976,340
25-10-2019,1229,341
27-10-2019,1237.7,342
29-10-2019,1242.5,343
30-10-2019,1248.349976,344
31-10-2019,1230.349976,345
01-11-2019,1240.050049,346
04-11-2019,1236.849976,347
05-11-2019,1239.5,348
06-11-2019,1256.650024,349
07-11-2019,1263.699951,350
08-11-2019,1255.599976,351
11-11-2019,1264.75,352
13-11-2019,1257.550049,353
14-11-2019,1273.900024,354
15-11-2019,1277.900024,355
18-11-2019,1262.050049,356
19-11-2019,1271.900024,357
20-11-2019,1273.349976,358
21-11-2019,1283.349976,359
22-11-2019,1264.75,360
25-11-2019,1271.099976,361
26-11-2019,1275.050049,362
27-11-2019,1278.400024,363
28-11-2019,1265.300049,364
29-11-2019,1274.949951,365
02-12-2019,1265.75,366
03-12-2019,1255.400024,367
04-12-2019,1251.650024,368
05-12-2019,1245.599976,369
06-12-2019,1246.050049,370
09-12-2019,1242.949951,371
10-12-2019,1249.5,372
11-12-2019,1248.75,373
12-12-2019,1263.599976,374
13-12-2019,1263.849976,375
16-12-2019,1257.349976,376
17-12-2019,1271.099976,377
18-12-2019,1292.349976,378
